                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83758,                0.81767,                  1.112,                0.79356,                0.55019,                0.73886,                0.41807,                 1.3572,                 2.2281,                 1.6058,              0.0011059,              0.0011059,              0.0011059
                     36,                0.88491,                0.89485,                 1.1748,                0.94739,                0.69131,                0.84784,                 0.5482,                 1.1413,                 1.8146,                  1.409,              0.0010894,              0.0010894,              0.0010894
                     37,                0.86924,                0.86032,                 1.1723,                0.94739,                0.69131,                0.84784,                 0.5482,                 1.1413,                 1.8146,                  1.409,              0.0010729,              0.0010729,              0.0010729
                     38,                 0.8175,                0.83594,                 1.0924,                0.86959,                0.76983,                0.90809,                0.62494,                 1.1435,                  1.524,                 1.4169,              0.0010564,              0.0010564,              0.0010564
                     39,                0.94397,                0.89539,                 1.1989,                 0.8716,                0.83514,                0.93208,                0.66986,                 1.1271,                 1.5006,                 1.4092,              0.0010399,              0.0010399,              0.0010399
                     40,                0.81248,                0.82448,                 1.1113,                 0.9033,                0.86086,                0.94047,                0.71597,                0.96972,                 1.4745,                 1.2605,              0.0010234,              0.0010234,              0.0010234
                     41,                0.84867,                 0.8078,                 1.1339,                 0.9033,                0.86086,                0.94047,                0.71597,                0.96972,                 1.4745,                 1.2605,              0.0010069,              0.0010069,              0.0010069
                     42,                0.82261,                 0.7702,                 1.0849,                0.92228,                 0.8992,                0.94813,                0.70527,                 1.0235,                  1.445,                 1.3029,             0.00099036,             0.00099036,             0.00099036
                     43,                0.88322,                0.82335,                 1.1547,                 0.9382,                0.92166,                0.96102,                0.73466,                0.98273,                 1.1915,                 1.2853,             0.00097386,             0.00097386,             0.00097386
                     44,                0.84356,                0.88849,                 1.1617,                 0.9514,                0.94772,                0.97988,                0.75429,                0.93174,                 1.0318,                 1.2671,             0.00095736,             0.00095736,             0.00095736
                     45,                0.84403,                0.82317,                  1.106,                 0.9514,                0.94772,                0.97988,                0.75429,                0.93174,                 1.0318,                 1.2671,             0.00094085,             0.00094085,             0.00094085
                     46,                0.85806,                0.85335,                 1.1706,                0.93214,                0.94797,                0.97983,                0.75358,                0.91627,                 1.0035,                 1.2888,             0.00092435,             0.00092435,             0.00092435
                     47,                0.75068,                0.78415,                  1.064,                0.95156,                0.98514,                0.98334,                 0.7649,                0.90214,                0.98455,                 1.2974,             0.00090785,             0.00090785,             0.00090785
                     48,                0.81476,                0.80877,                 1.1699,                0.95106,                0.98548,                0.98193,                0.76239,                0.82895,                0.94988,                 1.2274,             0.00089134,             0.00089134,             0.00089134
                     49,                0.80698,                0.81345,                  1.117,                0.95106,                0.98548,                0.98193,                0.76239,                0.82895,                0.94988,                 1.2274,             0.00087484,             0.00087484,             0.00087484
                     50,                0.94627,                0.87029,                 1.2304,                0.95876,                0.97224,                 0.9798,                 0.7416,                0.89392,                 1.0181,                  1.309,             0.00085834,             0.00085834,             0.00085834
                     51,                0.89643,                0.86959,                 1.1509,                0.94451,                0.96942,                0.97745,                0.74509,                0.91087,                 1.0394,                 1.3106,             0.00084184,             0.00084184,             0.00084184
                     52,                0.83279,                0.80132,                  1.103,                0.96507,                0.97123,                0.98428,                0.76687,                0.85516,                0.90576,                 1.2183,             0.00082533,             0.00082533,             0.00082533
                     53,                0.83064,                0.81614,                 1.1229,                0.96507,                0.97123,                0.98428,                0.76687,                0.85516,                0.90576,                 1.2183,             0.00080883,             0.00080883,             0.00080883
                     54,                0.82815,                0.80046,                 1.1541,                0.94663,                0.98276,                0.98261,                0.77736,                0.89359,                0.88818,                 1.2761,             0.00079233,             0.00079233,             0.00079233
                     55,                 0.8161,                0.85809,                 1.1351,                0.93516,                0.98276,                0.98214,                0.79037,                0.81711,                0.85765,                 1.2228,             0.00077582,             0.00077582,             0.00077582
                     56,                0.76984,                0.74244,                 1.0917,                 0.9657,                0.96521,                0.98964,                0.81321,                0.70246,                0.76951,                 1.1416,             0.00075932,             0.00075932,             0.00075932
                     57,                0.80459,                0.82479,                 1.1357,                 0.9657,                0.96521,                0.98964,                0.81321,                0.70246,                0.76951,                 1.1416,             0.00074282,             0.00074282,             0.00074282
                     58,                0.82368,                0.79285,                 1.1284,                0.94079,                0.98246,                0.99027,                0.81085,                0.74551,                0.77325,                  1.159,             0.00072631,             0.00072631,             0.00072631
                     59,                0.77367,                0.73345,                 1.0769,                0.96731,                0.97355,                0.99006,                0.80764,                0.72011,                0.75221,                 1.1341,             0.00070981,             0.00070981,             0.00070981
                     60,                0.80245,                0.75931,                 1.1385,                 0.9923,                0.97932,                0.99262,                0.82847,                0.65582,                0.72927,                  1.075,             0.00069331,             0.00069331,             0.00069331
                     61,                0.75594,                0.72715,                 1.0821,                 0.9923,                0.97932,                0.99262,                0.82847,                0.65582,                0.72927,                  1.075,              0.0006768,              0.0006768,              0.0006768
                     62,                0.74125,                0.70002,                 1.0706,                0.99722,                 0.9687,                0.99162,                0.83474,                0.63141,                0.70584,                 1.0548,              0.0006603,              0.0006603,              0.0006603
                     63,                0.74915,                0.73954,                 1.0779,                0.99588,                 0.9731,                0.99301,                0.82841,                0.60209,                0.70514,                 1.0329,              0.0006438,              0.0006438,              0.0006438
                     64,                0.74744,                0.73803,                 1.0936,                0.99372,                0.96954,                0.99271,                0.83513,                0.60176,                0.67469,                 1.0226,             0.00062729,             0.00062729,             0.00062729
                     65,                0.70969,                0.72246,                 1.0494,                0.99372,                0.96954,                0.99271,                0.83513,                0.60176,                0.67469,                 1.0226,             0.00061079,             0.00061079,             0.00061079
                     66,                0.75804,                0.70431,                 1.0939,                 0.9964,                0.96393,                0.99134,                0.82384,                0.64716,                0.66475,                 1.0542,             0.00059429,             0.00059429,             0.00059429
                     67,                0.73441,                 0.7319,                 1.0747,                0.99349,                0.96552,                0.99259,                0.83506,                0.61679,                0.65073,                 1.0471,             0.00057778,             0.00057778,             0.00057778
                     68,                0.66275,                0.64697,                 1.0146,                0.99449,                0.98276,                0.99403,                0.83965,                0.59952,                0.64778,                 1.0322,             0.00056128,             0.00056128,             0.00056128
                     69,                0.72683,                0.70008,                 1.0786,                0.99449,                0.98276,                0.99403,                0.83965,                0.59952,                0.64778,                 1.0322,             0.00054478,             0.00054478,             0.00054478
                     70,                0.76072,                 0.6861,                 1.0842,                0.99305,                0.98276,                 0.9945,                0.83932,                0.61837,                0.66389,                  1.042,             0.00052827,             0.00052827,             0.00052827
                     71,                0.70087,                0.65324,                 1.0371,                0.99837,                0.99595,                  0.995,                0.85065,                0.60462,                0.66858,                 1.0406,             0.00051177,             0.00051177,             0.00051177
                     72,                0.72122,                 0.7111,                 1.0923,                0.99716,                      1,                  0.995,                0.84969,                0.60821,                0.65605,                 1.0425,             0.00049527,             0.00049527,             0.00049527
